"","X.1","X","Data.As.Of","Start.Date","End.Date","Group","State","Sex","Age.Group","COVID.19.Deaths","COVID.19.Deaths_factor","Total.Deaths","Pneumonia.Deaths","Pneumonia.and.COVID.19.Deaths","Influenza.Deaths"
"866",866,1611,"11/24/2021","1/1/2020","11/20/2021","By Total","New Jersey","Male","50-64 years",3024,4,16380,2206,1572,16
"868",868,1613,"11/24/2021","1/1/2020","11/20/2021","By Total","New Jersey","Male","65-74 years",3426,4,17819,2642,1807,18
"869",869,1614,"11/24/2021","1/1/2020","11/20/2021","By Total","New Jersey","Male","75-84 years",3772,4,20601,3110,1999,21
"870",870,1615,"11/24/2021","1/1/2020","11/20/2021","By Total","New Jersey","Male","85 years and over",3352,4,21414,2895,1668,24
"872",872,1622,"11/24/2021","1/1/2020","11/20/2021","By Total","New Jersey","Female","18-29 years",42,1,606,34,19,0
"874",874,1624,"11/24/2021","1/1/2020","11/20/2021","By Total","New Jersey","Female","30-39 years",98,1,1190,76,41,NA
"876",876,1626,"11/24/2021","1/1/2020","11/20/2021","By Total","New Jersey","Female","40-49 years",239,2,2007,194,125,NA
"878",878,1628,"11/24/2021","1/1/2020","11/20/2021","By Total","New Jersey","Female","50-64 years",1541,4,9755,1174,816,10
"880",880,1630,"11/24/2021","1/1/2020","11/20/2021","By Total","New Jersey","Female","65-74 years",2118,4,13014,1679,1117,NA
"881",881,1631,"11/24/2021","1/1/2020","11/20/2021","By Total","New Jersey","Female","75-84 years",3138,4,19789,2530,1624,12
"882",882,1632,"11/24/2021","1/1/2020","11/20/2021","By Total","New Jersey","Female","85 years and over",4831,4,35465,3577,2112,30
"887",887,1656,"11/24/2021","1/1/2020","11/20/2021","By Total","New Mexico","Male","18-29 years",31,1,880,33,17,0
"889",889,1658,"11/24/2021","1/1/2020","11/20/2021","By Total","New Mexico","Male","30-39 years",117,2,1352,105,74,NA
"891",891,1660,"11/24/2021","1/1/2020","11/20/2021","By Total","New Mexico","Male","40-49 years",225,2,1617,198,147,NA
"893",893,1662,"11/24/2021","1/1/2020","11/20/2021","By Total","New Mexico","Male","50-64 years",683,3,4728,609,411,10
"895",895,1664,"11/24/2021","1/1/2020","11/20/2021","By Total","New Mexico","Male","65-74 years",713,3,4912,640,410,NA
"896",896,1665,"11/24/2021","1/1/2020","11/20/2021","By Total","New Mexico","Male","75-84 years",675,3,5196,616,348,NA
"897",897,1666,"11/24/2021","1/1/2020","11/20/2021","By Total","New Mexico","Male","85 years and over",488,2,4424,467,207,NA
"901",901,1673,"11/24/2021","1/1/2020","11/20/2021","By Total","New Mexico","Female","18-29 years",25,1,331,16,NA,NA
"903",903,1675,"11/24/2021","1/1/2020","11/20/2021","By Total","New Mexico","Female","30-39 years",66,1,674,70,43,NA
"905",905,1677,"11/24/2021","1/1/2020","11/20/2021","By Total","New Mexico","Female","40-49 years",126,2,847,112,74,NA
"907",907,1679,"11/24/2021","1/1/2020","11/20/2021","By Total","New Mexico","Female","50-64 years",431,2,2773,386,257,NA
"909",909,1681,"11/24/2021","1/1/2020","11/20/2021","By Total","New Mexico","Female","65-74 years",525,3,3630,470,305,NA
"910",910,1682,"11/24/2021","1/1/2020","11/20/2021","By Total","New Mexico","Female","75-84 years",549,3,4556,478,250,NA
"911",911,1683,"11/24/2021","1/1/2020","11/20/2021","By Total","New Mexico","Female","85 years and over",587,3,6231,441,224,NA
"913",913,1703,"11/24/2021","1/1/2020","11/20/2021","By Total","New York","Male","0-17 years",10,1,851,14,NA,NA
"915",915,1707,"11/24/2021","1/1/2020","11/20/2021","By Total","New York","Male","18-29 years",69,1,2160,78,31,NA
"917",917,1709,"11/24/2021","1/1/2020","11/20/2021","By Total","New York","Male","30-39 years",177,2,3185,157,77,NA
"919",919,1711,"11/24/2021","1/1/2020","11/20/2021","By Total","New York","Male","40-49 years",456,2,4298,336,206,NA
"921",921,1713,"11/24/2021","1/1/2020","11/20/2021","By Total","New York","Male","50-64 years",2624,4,19693,2259,1309,30
"923",923,1715,"11/24/2021","1/1/2020","11/20/2021","By Total","New York","Male","65-74 years",3404,4,23511,3138,1682,34
"924",924,1716,"11/24/2021","1/1/2020","11/20/2021","By Total","New York","Male","75-84 years",4031,4,27330,3934,1927,36
"925",925,1717,"11/24/2021","1/1/2020","11/20/2021","By Total","New York","Male","85 years and over",4153,4,29943,4332,1833,38
"929",929,1724,"11/24/2021","1/1/2020","11/20/2021","By Total","New York","Female","18-29 years",27,1,794,34,NA,NA
"931",931,1726,"11/24/2021","1/1/2020","11/20/2021","By Total","New York","Female","30-39 years",85,1,1455,76,37,NA
"933",933,1728,"11/24/2021","1/1/2020","11/20/2021","By Total","New York","Female","40-49 years",237,2,2400,204,115,NA
"935",935,1730,"11/24/2021","1/1/2020","11/20/2021","By Total","New York","Female","50-64 years",1405,4,12056,1353,697,20
"937",937,1732,"11/24/2021","1/1/2020","11/20/2021","By Total","New York","Female","65-74 years",2189,4,17386,2041,1050,23
"938",938,1733,"11/24/2021","1/1/2020","11/20/2021","By Total","New York","Female","75-84 years",3465,4,25845,3150,1548,30
"939",939,1734,"11/24/2021","1/1/2020","11/20/2021","By Total","New York","Female","85 years and over",6120,4,47884,5151,2248,63
"941",941,1754,"11/24/2021","1/1/2020","11/20/2021","By Total","New York City","Male","0-17 years",15,1,681,18,NA,NA
"943",943,1758,"11/24/2021","1/1/2020","11/20/2021","By Total","New York City","Male","18-29 years",85,1,1513,48,23,NA
"945",945,1760,"11/24/2021","1/1/2020","11/20/2021","By Total","New York City","Male","30-39 years",362,2,2658,176,113,15
"947",947,1762,"11/24/2021","1/1/2020","11/20/2021","By Total","New York City","Male","40-49 years",830,3,3978,400,270,53
"949",949,1764,"11/24/2021","1/1/2020","11/20/2021","By Total","New York City","Male","50-64 years",4010,4,16000,2275,1479,206
"951",951,1766,"11/24/2021","1/1/2020","11/20/2021","By Total","New York City","Male","65-74 years",4684,4,16473,2678,1759,146
"952",952,1767,"11/24/2021","1/1/2020","11/20/2021","By Total","New York City","Male","75-84 years",4546,4,16339,2833,1737,115
"953",953,1768,"11/24/2021","1/1/2020","11/20/2021","By Total","New York City","Male","85 years and over",3271,4,14901,2371,1276,84
"956",956,1775,"11/24/2021","1/1/2020","11/20/2021","By Total","New York City","Female","18-29 years",43,1,554,33,14,NA
"958",958,1777,"11/24/2021","1/1/2020","11/20/2021","By Total","New York City","Female","30-39 years",126,2,1092,67,29,NA
"960",960,1779,"11/24/2021","1/1/2020","11/20/2021","By Total","New York City","Female","40-49 years",364,2,1969,218,124,20
"962",962,1781,"11/24/2021","1/1/2020","11/20/2021","By Total","New York City","Female","50-64 years",1944,4,9071,1213,759,91
"964",964,1783,"11/24/2021","1/1/2020","11/20/2021","By Total","New York City","Female","65-74 years",2738,4,11577,1677,1075,96
"965",965,1784,"11/24/2021","1/1/2020","11/20/2021","By Total","New York City","Female","75-84 years",3430,4,15262,2197,1310,95
"966",966,1785,"11/24/2021","1/1/2020","11/20/2021","By Total","New York City","Female","85 years and over",4131,4,25042,2901,1526,102
"968",968,1805,"11/24/2021","1/1/2020","11/20/2021","By Total","North Carolina","Male","0-17 years",12,1,1330,23,NA,NA
"971",971,1809,"11/24/2021","1/1/2020","11/20/2021","By Total","North Carolina","Male","18-29 years",64,1,3157,64,35,NA
"973",973,1811,"11/24/2021","1/1/2020","11/20/2021","By Total","North Carolina","Male","30-39 years",195,2,3785,155,104,NA
"975",975,1813,"11/24/2021","1/1/2020","11/20/2021","By Total","North Carolina","Male","40-49 years",560,3,5253,419,311,NA
"977",977,1815,"11/24/2021","1/1/2020","11/20/2021","By Total","North Carolina","Male","50-64 years",2329,4,20347,2138,1352,45
"979",979,1817,"11/24/2021","1/1/2020","11/20/2021","By Total","North Carolina","Male","65-74 years",2869,4,22894,2869,1727,31
"980",980,1818,"11/24/2021","1/1/2020","11/20/2021","By Total","North Carolina","Male","75-84 years",2999,4,23975,3091,1741,28
"981",981,1819,"11/24/2021","1/1/2020","11/20/2021","By Total","North Carolina","Male","85 years and over",2150,4,18494,2185,1111,24
"986",986,1826,"11/24/2021","1/1/2020","11/20/2021","By Total","North Carolina","Female","18-29 years",48,1,1237,44,25,NA
"988",988,1828,"11/24/2021","1/1/2020","11/20/2021","By Total","North Carolina","Female","30-39 years",159,2,1909,140,92,NA
"990",990,1830,"11/24/2021","1/1/2020","11/20/2021","By Total","North Carolina","Female","40-49 years",324,2,3242,295,171,NA
"992",992,1832,"11/24/2021","1/1/2020","11/20/2021","By Total","North Carolina","Female","50-64 years",1608,4,13181,1527,959,34
"994",994,1834,"11/24/2021","1/1/2020","11/20/2021","By Total","North Carolina","Female","65-74 years",2134,4,17211,2148,1285,42
"995",995,1835,"11/24/2021","1/1/2020","11/20/2021","By Total","North Carolina","Female","75-84 years",2594,4,23274,2427,1333,29
"996",996,1836,"11/24/2021","1/1/2020","11/20/2021","By Total","North Carolina","Female","85 years and over",3148,4,30982,2657,1284,33
"1002",1002,1862,"11/24/2021","1/1/2020","11/20/2021","By Total","North Dakota","Male","30-39 years",18,1,331,22,10,NA
"1004",1004,1864,"11/24/2021","1/1/2020","11/20/2021","By Total","North Dakota","Male","40-49 years",36,1,406,34,23,NA
"1006",1006,1866,"11/24/2021","1/1/2020","11/20/2021","By Total","North Dakota","Male","50-64 years",191,2,1422,196,113,NA
"1008",1008,1868,"11/24/2021","1/1/2020","11/20/2021","By Total","North Dakota","Male","65-74 years",261,2,1728,280,165,NA
"1009",1009,1869,"11/24/2021","1/1/2020","11/20/2021","By Total","North Dakota","Male","75-84 years",304,2,1942,321,183,NA
"1010",1010,1870,"11/24/2021","1/1/2020","11/20/2021","By Total","North Dakota","Male","85 years and over",386,2,2110,326,192,NA
"1016",1016,1881,"11/24/2021","1/1/2020","11/20/2021","By Total","North Dakota","Female","40-49 years",21,1,204,19,12,NA
"1018",1018,1883,"11/24/2021","1/1/2020","11/20/2021","By Total","North Dakota","Female","50-64 years",89,1,852,110,52,NA
"1020",1020,1885,"11/24/2021","1/1/2020","11/20/2021","By Total","North Dakota","Female","65-74 years",136,2,1105,162,77,NA
"1021",1021,1886,"11/24/2021","1/1/2020","11/20/2021","By Total","North Dakota","Female","75-84 years",238,2,1639,232,127,NA
"1022",1022,1887,"11/24/2021","1/1/2020","11/20/2021","By Total","North Dakota","Female","85 years and over",431,2,2983,326,159,NA
"1025",1025,1911,"11/24/2021","1/1/2020","11/20/2021","By Total","Ohio","Male","18-29 years",51,1,3373,65,25,NA
"1027",1027,1913,"11/24/2021","1/1/2020","11/20/2021","By Total","Ohio","Male","30-39 years",169,2,4795,188,87,NA
"1029",1029,1915,"11/24/2021","1/1/2020","11/20/2021","By Total","Ohio","Male","40-49 years",430,2,6577,403,221,11
"1031",1031,1917,"11/24/2021","1/1/2020","11/20/2021","By Total","Ohio","Male","50-64 years",2512,4,26601,2414,1373,43
"1033",1033,1919,"11/24/2021","1/1/2020","11/20/2021","By Total","Ohio","Male","65-74 years",3846,4,31174,3559,2118,47
"1034",1034,1920,"11/24/2021","1/1/2020","11/20/2021","By Total","Ohio","Male","75-84 years",4575,4,32506,3995,2473,31
"1035",1035,1921,"11/24/2021","1/1/2020","11/20/2021","By Total","Ohio","Male","85 years and over",3967,4,29561,3168,1837,20
"1038",1038,1928,"11/24/2021","1/1/2020","11/20/2021","By Total","Ohio","Female","18-29 years",35,1,1370,41,18,NA
"1040",1040,1930,"11/24/2021","1/1/2020","11/20/2021","By Total","Ohio","Female","30-39 years",134,2,2441,113,63,NA
"1042",1042,1932,"11/24/2021","1/1/2020","11/20/2021","By Total","Ohio","Female","40-49 years",302,2,3881,304,168,10
"1044",1044,1934,"11/24/2021","1/1/2020","11/20/2021","By Total","Ohio","Female","50-64 years",1658,4,17297,1712,953,28
"1046",1046,1936,"11/24/2021","1/1/2020","11/20/2021","By Total","Ohio","Female","65-74 years",2566,4,22984,2394,1388,32
"1047",1047,1937,"11/24/2021","1/1/2020","11/20/2021","By Total","Ohio","Female","75-84 years",3751,4,31323,2989,1699,40
"1048",1048,1938,"11/24/2021","1/1/2020","11/20/2021","By Total","Ohio","Female","85 years and over",5407,4,47213,3567,1966,42
"1051",1051,1962,"11/24/2021","1/1/2020","11/20/2021","By Total","Oklahoma","Male","18-29 years",48,1,1094,51,21,NA
"1053",1053,1964,"11/24/2021","1/1/2020","11/20/2021","By Total","Oklahoma","Male","30-39 years",114,2,1555,105,55,0
"1055",1055,1966,"11/24/2021","1/1/2020","11/20/2021","By Total","Oklahoma","Male","40-49 years",328,2,2420,252,150,NA
"1057",1057,1968,"11/24/2021","1/1/2020","11/20/2021","By Total","Oklahoma","Male","50-64 years",1361,4,9759,1168,638,27
"1059",1059,1970,"11/24/2021","1/1/2020","11/20/2021","By Total","Oklahoma","Male","65-74 years",1625,4,11003,1506,758,19
"1060",1060,1971,"11/24/2021","1/1/2020","11/20/2021","By Total","Oklahoma","Male","75-84 years",1736,4,11316,1634,803,18
"1061",1061,1972,"11/24/2021","1/1/2020","11/20/2021","By Total","Oklahoma","Male","85 years and over",1280,4,8574,1145,558,NA
"1063",1063,1979,"11/24/2021","1/1/2020","11/20/2021","By Total","Oklahoma","Female","18-29 years",23,1,449,28,10,NA
"1065",1065,1981,"11/24/2021","1/1/2020","11/20/2021","By Total","Oklahoma","Female","30-39 years",88,1,814,69,40,NA
"1067",1067,1983,"11/24/2021","1/1/2020","11/20/2021","By Total","Oklahoma","Female","40-49 years",227,2,1500,165,96,NA
"1069",1069,1985,"11/24/2021","1/1/2020","11/20/2021","By Total","Oklahoma","Female","50-64 years",889,3,6285,878,434,21
"1071",1071,1987,"11/24/2021","1/1/2020","11/20/2021","By Total","Oklahoma","Female","65-74 years",1206,4,8437,1162,547,22
"1072",1072,1988,"11/24/2021","1/1/2020","11/20/2021","By Total","Oklahoma","Female","75-84 years",1393,4,10476,1232,585,19
"1073",1073,1989,"11/24/2021","1/1/2020","11/20/2021","By Total","Oklahoma","Female","85 years and over",1515,4,12812,1137,503,19
"1078",1078,2013,"11/24/2021","1/1/2020","11/20/2021","By Total","Oregon","Male","18-29 years",16,1,978,NA,NA,0
"1080",1080,2015,"11/24/2021","1/1/2020","11/20/2021","By Total","Oregon","Male","30-39 years",46,1,1213,34,17,NA
"1082",1082,2017,"11/24/2021","1/1/2020","11/20/2021","By Total","Oregon","Male","40-49 years",141,2,1851,94,63,NA
"1084",1084,2019,"11/24/2021","1/1/2020","11/20/2021","By Total","Oregon","Male","50-64 years",582,3,7363,486,267,12
"1086",1086,2021,"11/24/2021","1/1/2020","11/20/2021","By Total","Oregon","Male","65-74 years",621,3,9398,625,280,15
"1087",1087,2022,"11/24/2021","1/1/2020","11/20/2021","By Total","Oregon","Male","75-84 years",775,3,10474,752,339,10
"1088",1088,2023,"11/24/2021","1/1/2020","11/20/2021","By Total","Oregon","Male","85 years and over",613,3,9628,655,242,10
"1091",1091,2026,"11/24/2021","1/1/2020","11/20/2021","By Total","Oregon","Female","0-17 years",0,1,246,NA,0,NA
"1094",1094,2030,"11/24/2021","1/1/2020","11/20/2021","By Total","Oregon","Female","18-29 years",12,1,319,10,NA,0
"1096",1096,2032,"11/24/2021","1/1/2020","11/20/2021","By Total","Oregon","Female","30-39 years",31,1,609,27,11,NA
"1098",1098,2034,"11/24/2021","1/1/2020","11/20/2021","By Total","Oregon","Female","40-49 years",76,1,983,60,32,NA
"1100",1100,2036,"11/24/2021","1/1/2020","11/20/2021","By Total","Oregon","Female","50-64 years",338,2,4556,331,160,NA
"1102",1102,2038,"11/24/2021","1/1/2020","11/20/2021","By Total","Oregon","Female","65-74 years",457,2,6928,476,234,NA
"1103",1103,2039,"11/24/2021","1/1/2020","11/20/2021","By Total","Oregon","Female","75-84 years",569,3,8990,509,200,12
"1104",1104,2040,"11/24/2021","1/1/2020","11/20/2021","By Total","Oregon","Female","85 years and over",784,3,13859,643,216,10
"1109",1109,2064,"11/24/2021","1/1/2020","11/20/2021","By Total","Pennsylvania","Male","18-29 years",56,1,3359,63,20,0
"1111",1111,2066,"11/24/2021","1/1/2020","11/20/2021","By Total","Pennsylvania","Male","30-39 years",184,2,4785,155,86,NA
"1113",1113,2068,"11/24/2021","1/1/2020","11/20/2021","By Total","Pennsylvania","Male","40-49 years",459,2,5931,360,226,NA
"1115",1115,2070,"11/24/2021","1/1/2020","11/20/2021","By Total","Pennsylvania","Male","50-64 years",2765,4,26387,2205,1323,41
"1117",1117,2072,"11/24/2021","1/1/2020","11/20/2021","By Total","Pennsylvania","Male","65-74 years",4054,4,32214,3482,2045,35
"1118",1118,2073,"11/24/2021","1/1/2020","11/20/2021","By Total","Pennsylvania","Male","75-84 years",4954,4,35797,4193,2404,48
"1119",1119,2074,"11/24/2021","1/1/2020","11/20/2021","By Total","Pennsylvania","Male","85 years and over",4999,4,36255,3751,2059,34
"1123",1123,2081,"11/24/2021","1/1/2020","11/20/2021","By Total","Pennsylvania","Female","18-29 years",36,1,1205,43,16,NA
"1125",1125,2083,"11/24/2021","1/1/2020","11/20/2021","By Total","Pennsylvania","Female","30-39 years",96,1,2118,96,48,NA
"1127",1127,2085,"11/24/2021","1/1/2020","11/20/2021","By Total","Pennsylvania","Female","40-49 years",298,2,3507,238,137,NA
"1129",1129,2087,"11/24/2021","1/1/2020","11/20/2021","By Total","Pennsylvania","Female","50-64 years",1629,4,16549,1517,820,37
"1131",1131,2089,"11/24/2021","1/1/2020","11/20/2021","By Total","Pennsylvania","Female","65-74 years",2786,4,23278,2394,1386,23
"1132",1132,2090,"11/24/2021","1/1/2020","11/20/2021","By Total","Pennsylvania","Female","75-84 years",4062,4,33334,3060,1747,51
"1133",1133,2091,"11/24/2021","1/1/2020","11/20/2021","By Total","Pennsylvania","Female","85 years and over",7418,4,59178,4491,2275,59
"1136",1136,2111,"11/24/2021","1/1/2020","11/20/2021","By Total","Rhode Island","Male","0-17 years",0,1,86,NA,0,NA
"1139",1139,2117,"11/24/2021","1/1/2020","11/20/2021","By Total","Rhode Island","Male","30-39 years",12,1,289,NA,NA,0
"1141",1141,2119,"11/24/2021","1/1/2020","11/20/2021","By Total","Rhode Island","Male","40-49 years",27,1,421,14,NA,0
"1143",1143,2121,"11/24/2021","1/1/2020","11/20/2021","By Total","Rhode Island","Male","50-64 years",198,2,1901,160,98,NA
"1145",1145,2123,"11/24/2021","1/1/2020","11/20/2021","By Total","Rhode Island","Male","65-74 years",321,2,2246,248,166,NA
"1146",1146,2124,"11/24/2021","1/1/2020","11/20/2021","By Total","Rhode Island","Male","75-84 years",380,2,2553,307,176,NA
"1147",1147,2125,"11/24/2021","1/1/2020","11/20/2021","By Total","Rhode Island","Male","85 years and over",475,2,3038,363,213,NA
"1151",1151,2136,"11/24/2021","1/1/2020","11/20/2021","By Total","Rhode Island","Female","40-49 years",14,1,194,NA,NA,NA
"1153",1153,2138,"11/24/2021","1/1/2020","11/20/2021","By Total","Rhode Island","Female","50-64 years",96,1,1192,109,55,NA
"1155",1155,2140,"11/24/2021","1/1/2020","11/20/2021","By Total","Rhode Island","Female","65-74 years",219,2,1564,169,113,NA
"1156",1156,2141,"11/24/2021","1/1/2020","11/20/2021","By Total","Rhode Island","Female","75-84 years",349,2,2469,249,157,NA
"1157",1157,2142,"11/24/2021","1/1/2020","11/20/2021","By Total","Rhode Island","Female","85 years and over",774,3,5112,433,254,NA
"1161",1161,2166,"11/24/2021","1/1/2020","11/20/2021","By Total","South Carolina","Male","18-29 years",45,1,1871,35,18,NA
"1163",1163,2168,"11/24/2021","1/1/2020","11/20/2021","By Total","South Carolina","Male","30-39 years",140,2,2269,104,73,NA
"1165",1165,2170,"11/24/2021","1/1/2020","11/20/2021","By Total","South Carolina","Male","40-49 years",385,2,3269,269,195,NA
"1167",1167,2172,"11/24/2021","1/1/2020","11/20/2021","By Total","South Carolina","Male","50-64 years",1490,4,12596,1372,818,20
"1169",1169,2174,"11/24/2021","1/1/2020","11/20/2021","By Total","South Carolina","Male","65-74 years",2026,4,14540,1819,1103,18
"1170",1170,2175,"11/24/2021","1/1/2020","11/20/2021","By Total","South Carolina","Male","75-84 years",2148,4,14712,1932,1139,20
"1171",1171,2176,"11/24/2021","1/1/2020","11/20/2021","By Total","South Carolina","Male","85 years and over",1285,4,10323,1171,622,NA
"1174",1174,2183,"11/24/2021","1/1/2020","11/20/2021","By Total","South Carolina","Female","18-29 years",35,1,708,36,19,NA
"1176",1176,2185,"11/24/2021","1/1/2020","11/20/2021","By Total","South Carolina","Female","30-39 years",91,1,1137,88,51,NA
"1178",1178,2187,"11/24/2021","1/1/2020","11/20/2021","By Total","South Carolina","Female","40-49 years",256,2,2071,187,126,13
"1180",1180,2189,"11/24/2021","1/1/2020","11/20/2021","By Total","South Carolina","Female","50-64 years",1161,4,8332,1012,644,21
"1182",1182,2191,"11/24/2021","1/1/2020","11/20/2021","By Total","South Carolina","Female","65-74 years",1560,4,10656,1312,818,14
"1183",1183,2192,"11/24/2021","1/1/2020","11/20/2021","By Total","South Carolina","Female","75-84 years",1610,4,13372,1424,803,17
"1184",1184,2193,"11/24/2021","1/1/2020","11/20/2021","By Total","South Carolina","Female","85 years and over",1610,4,16580,1314,626,15
"1187",1187,2213,"11/24/2021","1/1/2020","11/20/2021","By Total","South Dakota","Male","0-17 years",0,1,127,NA,0,NA
"1191",1191,2219,"11/24/2021","1/1/2020","11/20/2021","By Total","South Dakota","Male","30-39 years",25,1,327,23,15,NA
"1193",1193,2221,"11/24/2021","1/1/2020","11/20/2021","By Total","South Dakota","Male","40-49 years",31,1,417,41,19,0
"1195",1195,2223,"11/24/2021","1/1/2020","11/20/2021","By Total","South Dakota","Male","50-64 years",185,2,1635,191,108,NA
"1197",1197,2225,"11/24/2021","1/1/2020","11/20/2021","By Total","South Dakota","Male","65-74 years",278,2,2064,293,162,NA
"1198",1198,2226,"11/24/2021","1/1/2020","11/20/2021","By Total","South Dakota","Male","75-84 years",361,2,2258,322,168,NA
"1199",1199,2227,"11/24/2021","1/1/2020","11/20/2021","By Total","South Dakota","Male","85 years and over",413,2,2436,315,174,NA
"1204",1204,2238,"11/24/2021","1/1/2020","11/20/2021","By Total","South Dakota","Female","40-49 years",29,1,249,18,NA,0
"1206",1206,2240,"11/24/2021","1/1/2020","11/20/2021","By Total","South Dakota","Female","50-64 years",115,2,1021,136,69,NA
"1208",1208,2242,"11/24/2021","1/1/2020","11/20/2021","By Total","South Dakota","Female","65-74 years",226,2,1412,215,131,NA
"1209",1209,2243,"11/24/2021","1/1/2020","11/20/2021","By Total","South Dakota","Female","75-84 years",237,2,1782,206,103,NA
"1210",1210,2244,"11/24/2021","1/1/2020","11/20/2021","By Total","South Dakota","Female","85 years and over",477,2,3458,283,124,NA
"1212",1212,2264,"11/24/2021","1/1/2020","11/20/2021","By Total","Tennessee","Male","0-17 years",12,1,1142,23,NA,NA
"1214",1214,2268,"11/24/2021","1/1/2020","11/20/2021","By Total","Tennessee","Male","18-29 years",69,1,2651,71,37,0
"1216",1216,2270,"11/24/2021","1/1/2020","11/20/2021","By Total","Tennessee","Male","30-39 years",241,2,3712,202,134,NA
"1218",1218,2272,"11/24/2021","1/1/2020","11/20/2021","By Total","Tennessee","Male","40-49 years",561,3,5498,453,311,NA
"1220",1220,2274,"11/24/2021","1/1/2020","11/20/2021","By Total","Tennessee","Male","50-64 years",2461,4,19773,2395,1439,39
"1222",1222,2276,"11/24/2021","1/1/2020","11/20/2021","By Total","Tennessee","Male","65-74 years",2893,4,21341,2963,1666,47
"1223",1223,2277,"11/24/2021","1/1/2020","11/20/2021","By Total","Tennessee","Male","75-84 years",3029,4,21197,3074,1705,29
"1224",1224,2278,"11/24/2021","1/1/2020","11/20/2021","By Total","Tennessee","Male","85 years and over",1691,4,14491,1830,897,15
"1226",1226,2281,"11/24/2021","1/1/2020","11/20/2021","By Total","Tennessee","Female","0-17 years",13,1,743,17,NA,NA
"1228",1228,2285,"11/24/2021","1/1/2020","11/20/2021","By Total","Tennessee","Female","18-29 years",63,1,1105,52,31,NA
"1230",1230,2287,"11/24/2021","1/1/2020","11/20/2021","By Total","Tennessee","Female","30-39 years",174,2,1933,155,95,NA
"1232",1232,2289,"11/24/2021","1/1/2020","11/20/2021","By Total","Tennessee","Female","40-49 years",410,2,3330,368,240,16
"1234",1234,2291,"11/24/2021","1/1/2020","11/20/2021","By Total","Tennessee","Female","50-64 years",1758,4,13156,1807,1075,27
"1236",1236,2293,"11/24/2021","1/1/2020","11/20/2021","By Total","Tennessee","Female","65-74 years",2120,4,16127,2149,1149,27
"1237",1237,2294,"11/24/2021","1/1/2020","11/20/2021","By Total","Tennessee","Female","75-84 years",2306,4,19771,2326,1162,39
"1238",1238,2295,"11/24/2021","1/1/2020","11/20/2021","By Total","Tennessee","Female","85 years and over",2290,4,23716,2102,986,21
"1241",1241,2315,"11/24/2021","1/1/2020","11/20/2021","By Total","Texas","Male","0-17 years",52,1,3869,64,11,NA
"1244",1244,2319,"11/24/2021","1/1/2020","11/20/2021","By Total","Texas","Male","18-29 years",451,2,8156,345,227,NA
"1246",1246,2321,"11/24/2021","1/1/2020","11/20/2021","By Total","Texas","Male","30-39 years",1427,4,10211,1043,796,10
"1248",1248,2323,"11/24/2021","1/1/2020","11/20/2021","By Total","Texas","Male","40-49 years",3531,4,15836,2507,1981,22
"1250",1250,2325,"11/24/2021","1/1/2020","11/20/2021","By Total","Texas","Male","50-64 years",11582,4,57601,9199,6670,99
"1252",1252,2327,"11/24/2021","1/1/2020","11/20/2021","By Total","Texas","Male","65-74 years",11520,4,60953,10342,6982,81
"1253",1253,2328,"11/24/2021","1/1/2020","11/20/2021","By Total","Texas","Male","75-84 years",10285,4,59792,9605,6090,82
"1254",1254,2329,"11/24/2021","1/1/2020","11/20/2021","By Total","Texas","Male","85 years and over",6407,4,46311,6183,3544,41
"1257",1257,2332,"11/24/2021","1/1/2020","11/20/2021","By Total","Texas","Female","0-17 years",43,1,2771,54,14,NA
"1260",1260,2336,"11/24/2021","1/1/2020","11/20/2021","By Total","Texas","Female","18-29 years",307,2,2907,227,166,NA
"1262",1262,2338,"11/24/2021","1/1/2020","11/20/2021","By Total","Texas","Female","30-39 years",810,3,4908,615,433,13
"1264",1264,2340,"11/24/2021","1/1/2020","11/20/2021","By Total","Texas","Female","40-49 years",1815,4,8975,1410,1039,21
"1266",1266,2342,"11/24/2021","1/1/2020","11/20/2021","By Total","Texas","Female","50-64 years",6677,4,35359,5857,4029,85
"1268",1268,2344,"11/24/2021","1/1/2020","11/20/2021","By Total","Texas","Female","65-74 years",7733,4,44276,7072,4686,77
"1269",1269,2345,"11/24/2021","1/1/2020","11/20/2021","By Total","Texas","Female","75-84 years",7815,4,54903,7392,4510,67
"1270",1270,2346,"11/24/2021","1/1/2020","11/20/2021","By Total","Texas","Female","85 years and over",7618,4,70182,6689,3584,65
"1275",1275,2370,"11/24/2021","1/1/2020","11/20/2021","By Total","Utah","Male","18-29 years",35,1,744,17,12,0
"1277",1277,2372,"11/24/2021","1/1/2020","11/20/2021","By Total","Utah","Male","30-39 years",66,1,956,51,35,NA
"1279",1279,2374,"11/24/2021","1/1/2020","11/20/2021","By Total","Utah","Male","40-49 years",143,2,1283,112,80,NA
"1281",1281,2376,"11/24/2021","1/1/2020","11/20/2021","By Total","Utah","Male","50-64 years",469,2,3840,407,254,12
"1283",1283,2378,"11/24/2021","1/1/2020","11/20/2021","By Total","Utah","Male","65-74 years",570,3,4504,527,327,NA
"1284",1284,2379,"11/24/2021","1/1/2020","11/20/2021","By Total","Utah","Male","75-84 years",552,3,5313,529,274,NA
"1285",1285,2380,"11/24/2021","1/1/2020","11/20/2021","By Total","Utah","Male","85 years and over",458,2,5260,412,194,NA
