"","X.1","X","Data.As.Of","Start.Date","End.Date","Group","State","Sex","Age.Group","COVID.19.Deaths","COVID.19.Deaths_factor","Total.Deaths","Pneumonia.Deaths","Pneumonia.and.COVID.19.Deaths","Influenza.Deaths"
"94",94,177,"11/24/2021","1/1/2020","11/20/2021","By Total","Arizona","Male","18-29 years",99,1,2689,85,52,NA
"96",96,179,"11/24/2021","1/1/2020","11/20/2021","By Total","Arizona","Male","30-39 years",316,2,3398,234,171,NA
"98",98,181,"11/24/2021","1/1/2020","11/20/2021","By Total","Arizona","Male","40-49 years",659,3,4271,510,389,NA
"100",100,183,"11/24/2021","1/1/2020","11/20/2021","By Total","Arizona","Male","50-64 years",2547,4,14916,2216,1570,23
"102",102,185,"11/24/2021","1/1/2020","11/20/2021","By Total","Arizona","Male","65-74 years",2873,4,17855,2717,1829,21
"103",103,186,"11/24/2021","1/1/2020","11/20/2021","By Total","Arizona","Male","75-84 years",3243,4,20220,3062,1986,15
"104",104,187,"11/24/2021","1/1/2020","11/20/2021","By Total","Arizona","Male","85 years and over",2013,4,16182,1978,1134,12
"109",109,194,"11/24/2021","1/1/2020","11/20/2021","By Total","Arizona","Female","18-29 years",74,1,929,56,39,0
"111",111,196,"11/24/2021","1/1/2020","11/20/2021","By Total","Arizona","Female","30-39 years",180,2,1510,161,105,NA
"113",113,198,"11/24/2021","1/1/2020","11/20/2021","By Total","Arizona","Female","40-49 years",366,2,2242,311,226,NA
"115",115,200,"11/24/2021","1/1/2020","11/20/2021","By Total","Arizona","Female","50-64 years",1467,4,9070,1378,914,16
"117",117,202,"11/24/2021","1/1/2020","11/20/2021","By Total","Arizona","Female","65-74 years",1913,4,12482,1845,1190,19
"118",118,203,"11/24/2021","1/1/2020","11/20/2021","By Total","Arizona","Female","75-84 years",2102,4,16863,2044,1226,15
"119",119,204,"11/24/2021","1/1/2020","11/20/2021","By Total","Arizona","Female","85 years and over",2024,4,21455,1832,993,11
"124",124,228,"11/24/2021","1/1/2020","11/20/2021","By Total","Arkansas","Male","18-29 years",32,1,929,29,14,NA
"126",126,230,"11/24/2021","1/1/2020","11/20/2021","By Total","Arkansas","Male","30-39 years",94,1,1277,68,42,NA
"128",128,232,"11/24/2021","1/1/2020","11/20/2021","By Total","Arkansas","Male","40-49 years",236,2,1991,196,121,NA
"130",130,234,"11/24/2021","1/1/2020","11/20/2021","By Total","Arkansas","Male","50-64 years",996,3,8086,892,538,18
"132",132,236,"11/24/2021","1/1/2020","11/20/2021","By Total","Arkansas","Male","65-74 years",1174,4,9333,1124,632,14
"133",133,237,"11/24/2021","1/1/2020","11/20/2021","By Total","Arkansas","Male","75-84 years",1284,4,9302,1227,670,13
"134",134,238,"11/24/2021","1/1/2020","11/20/2021","By Total","Arkansas","Male","85 years and over",862,3,6658,858,430,NA
"138",138,245,"11/24/2021","1/1/2020","11/20/2021","By Total","Arkansas","Female","18-29 years",31,1,380,31,22,NA
"140",140,247,"11/24/2021","1/1/2020","11/20/2021","By Total","Arkansas","Female","30-39 years",76,1,716,58,34,NA
"142",142,249,"11/24/2021","1/1/2020","11/20/2021","By Total","Arkansas","Female","40-49 years",172,2,1359,153,90,NA
"144",144,251,"11/24/2021","1/1/2020","11/20/2021","By Total","Arkansas","Female","50-64 years",676,3,5392,661,390,14
