"","2.5 %","97.5 %"
"(Intercept)",-144.427626701294,-119.798896170761
"room_type1",0.393501984754293,0.42001083349311
"room_type2",-0.149043162094194,-0.122410044978801
"neighbourhood_group1",0.0649256313308604,0.123988227609553
"neighbourhood_group2",0.0313757133523762,0.0582377031037392
"neighbourhood_group3",0.229172562150473,0.255965978931723
"neighbourhood_group4",0.110430726214588,0.147275374740241
"longitude",-2.29769383250654,-2.02093861095349
"availability_365",0.000300512034726382,0.000366942364701276
"minimum_nights",-0.00157933301587731,-0.00113061155554842
"latitude",-0.689494331304993,-0.44992376693787
"calculated_host_listings_count",0.000284498794918766,0.000603558674763498
"number_of_reviews",-0.00016128845143374,3.60026699006907e-05
"reviews_per_month",-0.00527095401122817,0.000524710846743926
